reflective,transitive
99.9307,98
99.9308,98
99.9311,98
99.9312,98
99.9309,98
99.9306,98
99.9305,98
99.9313,98
99.9321,98
99.9325,98
99.9324,98
99.9324,98
99.9325,98
99.9328,98
99.9331,98
99.9334,98
99.9337,98
99.9338,98
99.933,98
99.9325,98
99.933,98
99.9331,98
99.9338,98
99.9341,98
99.9342,98
99.9343,98
99.9346,98
99.9352,98
99.9364,98
99.9368,98
99.9368,98
99.9366,98
99.9366,98
99.9364,98
99.9364,98
99.9362,98
99.9361,98
99.9363,98
99.9366,98
99.9369,98
99.9375,98
99.938,98
99.9382,98
99.9383,98
99.937,98
99.9362,98
99.9362,98
99.9359,98
99.9361,98
99.9371,98
99.9383,98
99.9388,98
99.9389,98
99.9386,98
99.9383,98
99.9381,98
99.9377,98
99.9376,98
99.9376,98
99.9379,98
99.9384,98
99.9389,98
99.9397,98
99.9403,98
99.9412,98
99.942,98
99.9421,98
99.9413,98
99.9401,98
99.9395,98
99.9391,98
99.9391,98
99.9393,98
99.9407,98
99.9417,98
99.9421,98
99.9423,98
99.9422,98
99.9421,98
99.9419,98
99.9416,98
99.9414,98
99.9411,98
99.9408,98
99.9406,98
99.9407,98
99.9405,98
99.9406,98
99.9403,98
99.9404,98
99.9394,98
99.9385,98
99.9382,98
99.9381,98
99.9384,98
99.9394,98
99.9407,98
99.9413,98
99.9417,98
99.9418,98
99.9418,98
99.9416,98
99.9411,98
99.9407,98
99.9404,98
99.9404,98
99.9403,98
99.9402,98
99.9404,98
99.9407,98
99.9409,98
99.9409,98
99.941,98
99.9394,98
99.938,98
99.9377,98
99.9374,98
99.9374,98
99.9381,98
99.9389,98
99.939,98
99.9391,98
99.9389,98
99.9385,98
99.9382,98
99.9377,98
99.9372,98
99.9368,98
99.9361,98
99.936,98
99.9361,98
99.9362,98
99.9365,98
99.9365,98
99.9359,98
99.9346,98
99.9339,98
99.9338,98
99.9336,98
99.9336,98
99.933,98
99.9327,98
99.9328,98
99.9328,98
99.9336,98
99.9342,98
99.934,98
99.9341,98
99.9339,98
99.934,98
99.9338,98
99.9341,98
99.9344,98
99.9345,98
99.9351,98
99.9355,98
99.9353,98
99.9336,98
99.9325,98
99.932,98
99.9313,98
99.931,98
99.9301,98
99.9292,98
99.9277,98
99.9258,98
99.9259,98
99.9268,98
99.9281,98
99.9287,98
99.9288,98
99.9289,98
99.9288,98
99.9288,98
99.9286,98
99.9289,98
99.9295,98
99.9297,98
99.9302,98
99.9307,98
99.9308,98
99.9309,98
99.9299,98
99.9294,98
99.9293,98
99.9292,98
99.9291,98
99.929,98
99.9295,98
99.9298,98
99.931,98
99.9319,98
99.9321,98
99.9321,98
99.9318,98
99.9317,98
99.9315,98
99.9313,98
99.931,98
99.931,98
99.9313,98
99.9314,98
99.9318,98
99.9325,98
99.9329,98
99.9326,98
99.9316,98
99.9312,98
99.9314,98
99.9314,98
99.9312,98
99.9314,98
99.9315,98
99.9328,98
99.934,98
99.9341,98
99.9339,98
99.9337,98
99.9336,98
99.9335,98
99.9334,98
99.9331,98
99.9331,98
99.9331,98
99.9335,98
99.9342,98
99.9346,98
99.935,98
99.9353,98
99.9342,98
99.9337,98
99.9343,98
99.9348,98
99.9355,98
99.9362,98
99.9375,98
99.9383,98
